average_temperature,highest_temperature,lowest_temperature,daily_temperature_range,average_humidity,precipitation,transaction_volume_data
17.94,24.18,11.72,12.46,68.17,45.31,21.34421
17.6,23.78,11.44,12.33,68.59,45.73,21.42325
17.42,23.59,11.27,12.32,68.52,46.15,21.42325
17.14,23.3,11.0,12.3,68.38,46.56,20.90892
16.78,22.95,10.62,12.33,68.55,46.98,20.48281
16.56,22.78,10.36,12.42,68.34,47.4,20.0403
16.33,22.55,10.13,12.42,68.26,47.82,19.34067
16.13,22.35,9.92,12.44,67.63,48.24,17.92415
15.89,22.17,9.62,12.55,67.45,48.66,17.17504
15.64,21.97,9.33,12.65,67.47,49.08,16.75458
15.44,21.75,9.14,12.61,67.5,49.5,15.70562
15.24,21.69,8.79,12.9,67.08,49.82,14.46523
15.05,21.68,8.41,13.27,66.02,49.03,13.99611
14.7,21.45,7.94,13.52,65.6,48.05,13.46833
14.41,21.29,7.54,13.75,65.26,48.05,13.14278
14.22,21.08,7.36,13.73,65.4,47.82,12.48063
14.09,20.88,7.29,13.59,65.76,47.6,12.05392
13.97,20.7,7.25,13.45,65.76,47.37,11.29635
13.81,20.6,7.02,13.58,65.4,47.15,10.20404
13.53,20.43,6.62,13.81,65.02,46.94,10.0153
13.24,20.25,6.21,14.04,64.6,46.73,9.47044
12.83,20.06,5.6,14.46,63.72,45.1,9.32604
12.37,19.57,5.17,14.4,63.93,43.69,9.25215
12.09,19.39,4.8,14.59,62.98,42.03,9.07954
11.63,18.86,4.39,14.46,62.52,40.37,8.64008
11.28,18.47,4.09,14.38,62.22,38.71,7.98158
10.93,18.09,3.77,14.32,62.1,37.05,7.84456
10.48,17.58,3.37,14.21,62.17,35.39,7.52459
10.2,17.36,3.04,14.32,61.85,33.68,7.10626
10.08,17.32,2.83,14.49,61.7,31.97,6.80567
9.96,17.16,2.76,14.4,61.53,30.27,6.591810000000001
9.7,16.73,2.66,14.06,60.78,28.58,5.99823
9.43,16.34,2.52,13.82,59.95,26.89,5.50242
8.98,15.84,2.1,13.74,59.43,25.19,5.40196
8.56,15.45,1.66,13.79,59.3,23.5,5.28031
8.28,15.15,1.41,13.74,59.05,21.81,5.152810000000001
7.96,14.9,1.02,13.88,58.73,20.11,4.958729999999999
7.67,14.65,0.68,13.97,58.57,18.52,4.85292
7.61,14.52,0.69,13.83,59.0,17.37,4.57788
7.43,14.26,0.6,13.66,58.87,16.23,4.28748
7.18,13.84,0.53,13.31,59.13,15.29,4.17738
6.8,13.29,0.31,12.98,59.22,14.35,4.00348
6.46,12.81,0.11,12.7,59.28,13.42,3.78432
6.16,12.59,-0.27,12.86,59.32,12.48,3.72596
5.93,12.35,-0.49,12.84,59.3,10.5,3.73054
5.55,11.96,-0.85,12.81,59.4,10.5,3.49588
5.28,11.7,-1.14,12.85,58.82,10.5,3.34939
5.02,11.52,-1.48,13.0,58.45,10.5,3.25983
4.75,11.3,-1.81,13.11,58.5,10.5,2.97704
4.48,10.96,-2.01,12.97,57.92,10.5,2.904
4.26,10.76,-2.25,13.01,57.5,10.48,2.71904
4.22,10.77,-2.34,13.11,57.65,10.47,2.72905
4.09,10.54,-2.36,12.9,58.18,10.52,2.38695
3.89,10.35,-2.58,12.92,57.66,10.34,2.20314
3.62,10.04,-2.81,12.85,57.84,10.16,2.18141
3.48,9.97,-3.02,12.99,58.37,10.05,1.88814
3.28,9.73,-3.18,12.91,58.89,9.94,1.85695
3.14,9.53,-3.26,12.79,58.79,9.82,1.7357
2.97,9.3,-3.38,12.68,58.21,9.71,1.77495
2.61,8.87,-3.66,12.53,57.95,9.6,1.51963
2.43,8.57,-3.73,12.3,57.76,9.48,1.46911
2.33,8.46,-3.82,12.28,57.85,9.35,1.4206500000000002
2.2,8.3,-3.92,12.23,58.39,9.23,1.33265
2.04,8.15,-4.09,12.25,59.06,9.11,1.3059
1.94,8.05,-4.19,12.25,59.23,9.0,1.22215
1.8,7.93,-4.33,12.26,59.18,8.89,1.22215
1.63,7.75,-4.51,12.26,59.08,8.77,1.0298
1.41,7.51,-4.69,12.2,58.92,8.66,0.92635
1.17,7.28,-4.94,12.23,58.87,8.45,0.8971
0.93,7.05,-5.2,12.25,58.94,7.81,0.90019
0.71,6.8,-5.38,12.18,58.5,7.16,0.90781
0.53,6.66,-5.6,12.26,58.02,6.31,0.90186
0.52,6.74,-5.7,12.44,57.5,5.45,0.90186
0.55,6.79,-5.68,12.47,57.23,4.6,0.8871
0.51,6.72,-5.69,12.41,56.97,3.74,0.91852
0.46,6.62,-5.7,12.32,56.39,3.74,0.91852
0.46,6.6,-5.68,12.28,55.76,3.74,0.93245
0.37,6.59,-5.84,12.43,55.34,3.74,0.93376
0.28,6.45,-5.89,12.34,55.06,3.74,0.88424
0.14,6.28,-6.0,12.27,54.6,3.74,0.88424
0.02,6.2,-6.16,12.36,54.84,3.74,0.88638
-0.1,6.13,-6.32,12.45,54.66,3.74,0.85524
-0.17,5.94,-6.25,12.19,54.45,3.74,0.8545499999999999
-0.42,5.66,-6.47,12.13,52.74,3.68,0.88571
-0.63,5.55,-6.79,12.34,52.37,3.61,0.88571
-0.72,5.51,-6.93,12.44,52.05,3.52,0.83905
-0.74,5.47,-6.93,12.4,51.84,3.35,0.83905
-0.87,5.41,-7.13,12.53,51.13,3.19,0.82048
-1.02,5.35,-7.37,12.72,50.68,3.03,0.82048
-1.09,5.36,-7.52,12.89,50.55,2.87,0.82605
-1.07,5.47,-7.59,13.06,50.58,2.71,0.87627
-1.15,5.47,-7.73,13.21,50.61,2.55,0.8901399999999999
-1.29,5.31,-7.86,13.17,49.98,2.39,0.899
-1.42,5.4,-8.2,13.6,49.4,2.23,0.87419
-1.38,5.5,-8.23,13.73,49.11,2.06,0.90967
-1.54,5.33,-8.36,13.69,49.27,1.9,0.92229
-1.64,5.23,-8.47,13.71,48.97,1.74,0.944
-1.66,5.32,-8.62,13.93,48.71,1.58,0.84409
-1.59,5.49,-8.64,14.13,48.74,1.42,0.8665900000000001
-1.42,5.61,-8.43,14.04,48.97,1.26,1.00682
-1.48,5.64,-8.59,14.23,48.16,1.08,1.01024
-1.43,5.92,-8.75,14.67,48.13,0.9,1.12619
-1.24,6.22,-8.69,14.91,47.85,0.73,1.16881
-1.17,6.44,-8.77,15.2,47.68,0.55,1.2043199999999998
-1.04,6.61,-8.67,15.27,47.73,0.37,1.23738
-1.0,6.68,-8.68,15.35,47.39,0.19,1.24925
-0.94,6.81,-8.68,15.49,47.47,0.19,1.24925
-0.65,7.08,-8.38,15.46,48.08,0.19,1.24925
-0.66,7.01,-8.33,15.33,48.05,0.19,1.26447
-0.9,6.74,-8.52,15.26,47.44,0.19,1.3258299999999998
-1.04,6.56,-8.63,15.19,46.97,0.19,1.3258299999999998
-1.06,6.48,-8.59,15.07,46.6,0.19,1.37441
-1.05,6.37,-8.45,14.83,47.0,0.19,1.44781
-1.01,6.35,-8.35,14.7,47.82,0.29,1.41406
-0.83,6.47,-8.12,14.59,49.44,0.39,1.41406
-0.63,6.48,-7.73,14.21,50.26,0.5,1.34853
-0.63,6.47,-7.71,14.19,50.52,0.61,1.38625
-0.61,6.49,-7.7,14.19,50.6,0.73,1.38625
-0.43,6.63,-7.48,14.12,51.42,0.84,1.451
-0.28,6.65,-7.21,13.86,52.24,0.95,1.37281
-0.13,6.85,-7.09,13.94,52.61,1.06,1.40147
0.0,6.99,-6.99,13.98,52.68,1.18,1.4083599999999998
0.15,7.05,-6.74,13.78,52.94,1.29,1.45015
0.2,7.11,-6.7,13.81,53.42,1.4,1.40285
0.32,7.17,-6.53,13.71,53.9,1.52,1.40285
0.34,7.3,-6.62,13.92,53.66,1.61,1.371
0.53,7.58,-6.52,14.1,53.26,1.71,1.27183
0.72,7.82,-6.37,14.19,53.06,1.81,1.26018
0.85,7.91,-6.22,14.13,52.9,1.9,1.3392
0.94,7.94,-6.06,14.01,52.74,2.0,1.1732
0.99,8.09,-6.11,14.2,52.31,2.1,0.92611
1.13,8.13,-5.88,14.01,53.29,2.27,0.8555
1.53,8.37,-5.3,13.68,53.95,2.45,0.63222
1.73,8.45,-5.0,13.45,54.58,2.63,0.43688
2.01,8.47,-4.45,12.92,55.56,2.66,0.22071
1.97,8.42,-4.48,12.9,55.55,2.71,0.22071
1.99,8.44,-4.46,12.9,55.61,2.76,0.22071
1.91,8.35,-4.53,12.87,55.94,2.82,0.21562
1.66,8.05,-4.74,12.79,55.24,2.89,0.215
1.66,8.0,-4.69,12.69,54.84,2.95,0.215
1.9,8.25,-4.44,12.68,54.97,3.02,0.215
2.13,8.5,-4.24,12.74,54.94,3.08,0.215
2.25,8.58,-4.08,12.66,55.19,3.15,0.215
2.28,8.74,-4.18,12.92,54.29,3.21,0.215
2.37,9.16,-4.43,13.59,52.95,3.18,0.20438
2.32,9.2,-4.56,13.76,52.87,3.87,0.20438
2.39,9.28,-4.5,13.78,53.24,4.89,0.19071
2.53,9.42,-4.35,13.77,53.24,5.9,0.19071
2.72,9.73,-4.29,14.02,53.03,6.92,0.19071
3.07,10.26,-4.12,14.37,52.4,7.94,0.19071
3.45,10.84,-3.94,14.78,52.21,8.95,0.1891699999999999
3.87,11.18,-3.44,14.63,52.27,9.97,0.1891699999999999
4.16,11.33,-3.0,14.33,52.18,10.98,0.1891699999999999
4.25,11.44,-2.94,14.38,52.19,12.08,0.1891699999999999
4.38,11.6,-2.85,14.45,52.13,13.18,0.211
4.59,11.95,-2.77,14.72,51.79,14.27,0.211
4.83,12.27,-2.61,14.88,51.61,15.37,0.211
5.1,12.68,-2.47,15.15,51.44,16.47,0.21625
5.56,13.04,-1.9,14.94,52.08,17.84,0.21625
5.94,13.31,-1.43,14.73,52.95,19.76,0.21625
6.25,13.63,-1.13,14.76,53.13,21.68,0.20333
6.55,13.96,-0.85,14.81,53.37,23.6,0.20333
6.89,14.22,-0.43,14.65,53.39,25.69,0.195
6.96,14.3,-0.38,14.68,53.34,27.94,0.195
7.12,14.57,-0.32,14.89,53.15,30.18,0.195
7.27,14.98,-0.43,15.41,52.37,30.13,0.195
7.55,15.4,-0.3,15.69,52.26,30.06,0.195
7.87,15.71,0.05,15.67,52.35,30.0,0.195
8.06,15.81,0.32,15.5,52.13,29.94,0.21
13.54,21.67,5.4,16.27,54.27,22.03,0.136
13.71,21.86,5.55,16.32,54.45,22.05,0.136
13.88,22.2,5.55,16.65,55.02,22.06,0.136
14.06,22.24,5.86,16.37,55.48,22.16,0.136
14.21,22.33,6.07,16.25,55.95,22.26,0.18
14.3,22.35,6.23,16.12,56.34,22.35,0.18
14.33,22.34,6.29,16.05,56.53,22.45,0.18
14.53,22.58,6.45,16.13,56.29,22.74,0.1986699999999999
14.77,23.05,6.48,16.57,55.65,23.0,0.1986699999999999
15.01,23.21,6.79,16.43,55.87,23.24,0.1625
15.23,23.24,7.21,16.03,55.89,23.48,0.1625
15.33,23.29,7.35,15.94,55.48,23.73,0.1611999999999999
15.35,23.32,7.36,15.96,55.77,23.97,0.1611999999999999
15.53,23.5,7.54,15.96,55.89,23.39,0.1611999999999999
15.71,23.87,7.54,16.34,55.31,22.76,0.177
15.95,24.1,7.76,16.34,55.47,22.13,0.176
16.08,24.25,7.9,16.35,55.6,21.5,0.176
16.25,24.49,8.0,16.49,55.65,20.87,0.16375
16.43,24.57,8.28,16.29,56.66,20.24,0.17089
16.73,24.79,8.65,16.14,57.1,19.61,0.184
16.92,24.79,9.05,15.74,57.58,19.0,0.184
17.03,24.81,9.22,15.59,57.71,18.4,0.2196399999999999
17.16,25.07,9.25,15.82,57.47,17.81,0.24033
17.3,25.37,9.23,16.15,57.27,16.92,0.28154
17.63,26.01,9.23,16.79,56.05,14.92,0.36071
17.95,26.68,9.19,17.49,54.74,11.02,0.4236
18.22,27.21,9.22,17.99,53.92,7.11,0.5638099999999999
18.43,27.45,9.39,18.06,53.87,7.11,0.5638099999999999
18.53,27.34,9.7,17.64,54.27,7.15,0.7634099999999999
18.68,27.3,10.04,17.26,55.63,7.23,1.009
18.96,27.42,10.49,16.92,56.24,7.31,1.27195
19.29,27.56,11.0,16.56,56.82,7.39,1.58068
19.64,27.81,11.46,16.35,57.24,7.47,1.86235
19.9,27.94,11.84,16.1,57.56,7.55,2.33148
20.1,28.08,12.1,15.99,58.0,7.84,2.33148
20.35,28.15,12.53,15.63,58.45,8.16,3.1698600000000003
20.53,28.1,12.95,15.15,59.15,8.48,3.65345
20.76,28.17,13.34,14.83,59.4,9.18,4.19496
20.85,28.22,13.45,14.77,59.71,9.68,4.83104
20.9,28.14,13.64,14.5,60.18,10.18,5.42829
20.99,28.28,13.68,14.6,60.21,10.68,6.39183
21.07,28.42,13.71,14.7,60.53,11.18,6.39183
