average_temperature,highest_temperature,lowest_temperature,daily_temperature_range,average_humidity,precipitation,transaction_volume_data
25.38,27.58,23.16,4.41,92.69,71.56,465.83967
25.59,28.03,23.14,4.89,91.94,79.0,456.68729
25.91,28.68,23.12,5.55,90.25,83.56,398.41829
25.73,28.45,22.97,5.48,89.69,90.69,388.37871
25.6,28.36,22.84,5.53,89.31,97.81,368.26786
25.56,28.54,22.59,5.95,88.62,104.94,358.75029
25.83,29.24,22.41,6.83,87.19,112.06,355.033
25.8,29.4,22.19,7.21,86.88,118.62,368.17017
26.25,30.04,22.45,7.59,85.38,123.56,362.88443
26.11,29.55,22.69,6.86,86.19,134.5,358.21986
25.95,29.08,22.83,6.25,87.25,146.0,352.94814
26.06,29.53,22.61,6.91,86.69,154.81,347.82314
25.92,29.53,22.34,7.19,86.44,163.62,337.66629
25.71,29.5,21.93,7.57,86.19,172.44,324.97643
25.44,28.92,21.95,6.97,87.94,181.62,293.4635
25.47,28.95,22.01,6.94,87.88,191.19,273.93314000000004
25.21,28.81,21.62,7.19,87.81,199.31,248.70757
25.35,29.24,21.46,7.77,87.38,208.38,220.95386
25.49,29.69,21.3,8.39,86.25,183.62,238.18143
25.51,29.72,21.33,8.4,87.44,162.81,219.82757
25.73,29.96,21.5,8.46,88.0,143.06,198.26471
25.93,29.97,21.88,8.1,89.06,125.25,169.67217000000002
26.23,30.49,21.98,8.51,88.06,107.06,158.77385999999998
26.11,30.37,21.85,8.52,88.5,89.94,142.28714000000002
26.26,30.61,21.9,8.71,89.0,72.81,132.09029
26.53,30.96,22.09,8.87,88.56,47.94,117.59657
26.75,31.04,22.46,8.57,89.81,56.31,89.40942999999999
26.89,31.11,22.64,8.47,89.94,62.5,83.20671
26.95,31.19,22.7,8.49,89.62,67.69,75.86183
27.09,31.4,22.76,8.64,88.56,70.94,80.29614
27.13,31.53,22.7,8.83,87.69,74.19,78.54142999999999
27.29,31.81,22.75,9.06,86.38,76.0,82.20228999999999
27.29,31.75,22.84,8.91,85.94,78.0,83.41829
27.16,31.76,22.56,9.2,85.0,80.0,93.09714
26.86,31.66,22.05,9.61,84.19,82.0,94.98529
26.8,31.78,21.84,9.94,83.38,82.25,99.26617
26.56,31.56,21.56,10.0,83.62,83.12,106.00929
26.21,31.41,21.03,10.39,82.5,84.0,105.98529
26.03,31.34,20.72,10.61,82.88,84.88,106.754
26.2,31.51,20.91,10.6,83.06,88.94,108.36957
25.79,30.69,20.91,9.78,84.38,95.44,102.76929
25.61,30.46,20.79,9.68,83.12,101.94,95.025
25.45,30.38,20.55,9.83,81.62,108.44,92.90283
25.08,30.1,20.08,10.03,80.44,114.94,97.34671
24.78,29.89,19.67,10.21,79.5,120.75,92.79986
24.8,29.73,19.89,9.84,79.81,126.56,90.15643
24.31,28.98,19.66,9.31,81.12,142.31,87.61886
23.8,28.48,19.11,9.36,80.81,154.88,82.016
23.67,28.81,18.53,10.29,78.75,164.81,78.82442999999999
23.2,28.36,18.03,10.34,79.62,147.94,77.47333
22.54,27.7,17.38,10.33,79.69,131.06,80.68942999999999
21.92,27.04,16.81,10.23,79.25,114.19,70.90086
21.4,26.66,16.15,10.51,78.56,97.31,66.32728999999999
20.56,25.86,15.27,10.59,78.88,80.44,63.47586
20.09,25.3,14.89,10.41,78.06,53.75,63.67586
19.61,24.89,14.36,10.53,77.75,27.06,64.55886
19.27,24.64,13.92,10.71,76.88,0.38,70.28833
19.14,24.61,13.66,10.95,76.62,0.5,70.826
19.27,24.51,14.02,10.49,78.19,1.0,63.86957
19.62,24.39,14.84,9.55,81.06,3.62,62.83186
20.06,24.31,15.79,8.52,82.88,7.44,57.25214
20.71,24.69,16.72,7.96,84.56,12.25,59.89371
21.09,25.07,17.1,7.98,84.75,21.81,59.80871
21.11,25.19,17.04,8.15,84.81,31.38,62.236830000000005
20.95,25.19,16.71,8.48,84.38,40.94,77.41628999999999
20.81,25.29,16.34,8.95,83.19,50.5,86.36429
20.94,25.85,16.02,9.83,81.12,59.69,85.24886000000001
20.92,26.54,15.32,11.21,78.38,66.75,91.41933
20.76,26.75,14.77,11.98,77.25,72.62,100.9898
20.61,27.06,14.16,12.9,75.19,77.5,104.547
20.59,27.35,13.81,13.54,74.0,77.5,116.22133
20.57,27.4,13.74,13.66,74.12,77.5,120.82675
20.6,26.95,14.23,12.72,77.25,77.81,98.31325
20.55,26.51,14.58,11.94,78.25,78.12,79.92375
19.74,25.64,13.84,11.8,77.75,78.44,80.66225
18.94,24.96,12.9,12.06,76.44,78.75,76.2458
18.22,24.01,12.44,11.57,77.31,79.06,75.40767
17.65,22.78,12.51,10.26,80.12,82.38,75.40767
17.67,22.78,12.56,10.21,80.31,85.69,69.34171
17.6,22.7,12.48,10.22,80.31,76.0,57.40857
17.35,22.79,11.89,10.9,78.5,66.0,53.04586
16.65,22.36,10.9,11.46,77.56,56.0,50.56586
16.65,22.54,10.73,11.81,78.06,46.0,51.421
16.86,22.81,10.88,11.94,78.94,36.0,47.894
17.34,23.67,10.98,12.7,78.06,26.0,44.00683
17.82,24.64,10.99,13.65,76.44,13.0,42.28171
17.59,23.99,11.15,12.84,78.0,1.19,41.08257
17.6,23.9,11.26,12.64,77.75,2.38,33.92814
17.88,24.09,11.65,12.44,78.31,3.56,29.43886
18.09,24.24,11.94,12.3,78.94,4.75,35.45857
17.88,24.01,11.74,12.28,78.62,5.94,35.447
17.6,23.65,11.55,12.1,78.12,7.12,35.70633
17.19,23.47,10.87,12.6,76.69,8.31,44.31271
16.06,22.4,9.69,12.71,76.19,9.69,47.22629
14.77,21.8,7.71,14.09,73.31,9.88,49.61443
13.51,20.76,6.22,14.54,71.62,10.06,56.84657
12.54,20.17,4.85,15.32,70.0,10.25,61.23243
12.02,19.8,4.2,15.6,70.88,10.44,53.76114
12.17,19.83,4.49,15.34,71.75,10.62,53.99767
12.15,19.64,4.62,15.01,72.5,10.81,55.00243
11.92,19.25,4.57,14.68,72.94,11.0,47.59729
12.19,19.66,4.7,14.96,72.0,11.0,48.06714
12.69,20.1,5.26,14.84,72.5,11.0,49.40314
12.56,19.84,5.29,14.55,72.5,11.0,50.27143
12.11,19.35,4.87,14.47,72.69,11.0,48.21629
11.66,19.04,4.3,14.74,71.44,11.0,50.3175
10.98,18.37,3.58,14.8,70.81,11.0,53.584
10.39,17.96,2.8,15.16,71.0,11.0,50.58957
9.85,17.24,2.45,14.79,71.19,11.0,48.58629
9.33,16.88,1.77,15.1,69.94,11.0,44.02043
9.29,17.05,1.55,15.5,69.12,9.62,41.75186
9.54,17.04,2.05,14.99,72.12,8.31,36.85029
9.91,16.96,2.86,14.1,73.81,7.12,37.527
10.13,16.79,3.45,13.34,75.5,6.0,37.41986
10.33,16.94,3.7,13.24,74.94,4.88,31.16543
10.1,16.23,3.98,12.25,77.0,3.75,29.91814
10.2,16.3,4.11,12.19,76.19,2.62,29.64171
9.74,15.64,3.84,11.8,76.38,1.5,30.31129
9.53,15.19,3.85,11.34,76.75,2.69,28.237
9.08,14.96,3.19,11.78,74.56,3.81,29.0395
8.13,14.04,2.23,11.81,71.88,4.81,28.06214
7.19,13.29,1.11,12.18,69.88,5.75,25.19314
6.18,12.39,-0.02,12.41,70.0,6.69,22.37243
5.61,12.0,-0.75,12.75,68.38,7.62,19.85171
5.05,11.41,-1.31,12.72,70.31,8.56,20.55029
4.94,11.26,-1.39,12.65,71.81,9.5,18.763
4.19,10.22,-1.85,12.07,72.06,9.81,18.52
3.64,9.29,-2.02,11.31,72.31,10.12,18.41114
3.49,8.95,-1.99,10.94,73.5,10.44,15.42414
3.43,8.55,-1.74,10.29,74.0,10.75,15.43786
3.15,8.05,-1.76,9.81,75.75,11.06,15.776
3.09,8.15,-2.0,10.15,75.19,11.38,16.62457
2.96,8.2,-2.28,10.47,73.94,11.69,13.30857
2.81,8.23,-2.59,10.81,72.56,12.88,12.88833
2.9,8.44,-2.63,11.06,73.69,15.06,13.60129
2.51,8.26,-3.21,11.48,74.56,17.25,12.20029
2.18,7.95,-3.58,11.53,75.62,20.5,13.21229
1.48,7.16,-4.18,11.34,76.81,23.75,11.89343
1.21,6.81,-4.36,11.18,77.25,27.0,10.78429
1.05,6.6,-4.46,11.06,78.69,30.25,8.50186
0.76,6.13,-4.58,10.7,79.69,28.75,8.27967
0.23,5.23,-4.77,10.0,82.62,26.38,9.05571
0.12,5.13,-4.89,10.01,81.44,22.69,7.13857
0.61,5.77,-4.56,10.34,81.69,19.0,6.97371
1.0,6.31,-4.34,10.65,83.0,14.25,7.469
1.76,7.24,-3.72,10.96,81.19,9.5,7.82014
2.42,7.89,-3.05,10.94,80.69,4.75,7.558
2.72,8.16,-2.75,10.91,80.0,0.0,8.20817
2.9,7.99,-2.24,10.22,81.88,1.62,10.41414
2.99,7.89,-1.95,9.84,80.75,3.25,8.602139999999999
2.3,6.91,-2.35,9.26,81.38,5.06,8.987
1.48,5.95,-3.03,8.97,81.62,7.62,9.70057
0.44,4.8,-3.94,8.74,79.75,10.19,8.975
-0.45,3.96,-4.89,8.85,82.06,12.75,8.555860000000001
-1.61,2.9,-6.16,9.06,81.12,15.31,9.57767
-2.79,1.62,-7.22,8.85,80.81,17.88,9.64229
-3.5,1.29,-8.3,9.59,78.44,18.81,7.38671
-3.31,1.72,-8.35,10.07,77.88,19.75,8.39457
-3.51,1.56,-8.57,10.14,78.81,20.69,8.23929
-3.82,0.94,-8.57,9.51,78.81,20.94,7.658
-3.73,1.26,-8.71,9.97,79.81,21.19,6.752140000000001
-3.85,1.4,-9.1,10.5,79.12,21.44,6.69717
-3.51,1.61,-8.62,10.24,80.31,21.69,8.604709999999999
-3.3,2.01,-8.6,10.61,79.81,21.94,8.343290000000001
-3.53,2.06,-9.1,11.16,79.19,22.19,8.923290000000001
-3.78,1.58,-9.14,10.71,80.44,22.44,8.24843
-4.21,1.14,-9.58,10.71,78.44,22.5,8.034
-4.44,1.33,-10.24,11.56,77.38,22.5,7.591
-4.49,1.44,-10.43,11.86,75.81,22.5,8.78617
-3.68,1.95,-9.31,11.26,76.19,22.5,8.95514
-3.34,2.43,-9.11,11.54,76.31,22.5,6.191859999999999
-2.48,2.98,-7.94,10.91,75.5,19.69,5.85717
-1.95,3.2,-7.1,10.3,74.62,16.88,4.644399999999999
-1.88,3.75,-7.48,11.23,72.19,14.06,7.352
-1.18,4.64,-6.97,11.61,73.25,11.25,7.9546
-0.4,5.35,-6.13,11.48,73.38,8.44,8.78775
0.14,5.9,-5.6,11.5,73.25,5.62,8.285200000000001
-0.11,5.71,-5.93,11.64,73.0,2.81,7.1356
-0.03,5.55,-5.58,11.13,72.25,0.0,7.4946
-1.2,4.28,-6.66,10.94,69.94,0.0,6.85983
-2.13,3.4,-7.65,11.05,71.31,0.0,6.19143
-2.68,2.67,-8.02,10.7,71.12,0.0,4.40717
-2.98,2.49,-8.43,10.91,69.88,0.0,3.773
-3.71,1.9,-9.31,11.21,67.25,0.0,3.95983
-4.33,1.38,-10.04,11.41,65.88,0.0,3.61417
-4.78,1.16,-10.73,11.89,64.06,0.0,3.4928000000000003
-5.33,0.85,-11.52,12.37,64.88,0.0,3.875
-4.75,1.76,-11.29,13.05,67.69,0.0,4.847
-4.27,2.21,-10.79,13.0,66.5,0.0,5.0338
-4.47,2.26,-11.25,13.51,66.06,0.0,5.0338
-4.19,2.27,-10.69,12.96,67.69,0.12,6.13217
-4.02,1.94,-10.01,11.95,71.31,0.25,6.38217
-3.75,1.86,-9.39,11.25,72.88,0.38,6.174
-3.61,2.07,-9.31,11.39,74.25,0.5,5.77657
-3.31,2.39,-9.04,11.43,74.56,0.62,6.23529
-2.51,2.85,-7.88,10.73,77.19,0.94,5.65586
-2.34,2.89,-7.55,10.44,78.0,1.25,6.07933
-1.94,3.3,-7.18,10.48,78.25,1.56,7.62386
-1.89,3.67,-7.45,11.13,77.12,1.75,8.377139999999999
-1.21,5.28,-7.71,12.99,74.06,1.94,8.378290000000002
-0.51,5.86,-6.89,12.75,75.69,2.12,9.28267
0.06,6.29,-6.16,12.45,74.5,2.31,10.4608
0.55,6.66,-5.54,12.2,73.69,3.31,11.17
0.77,6.7,-5.13,11.83,74.5,4.12,13.39667
0.81,6.86,-5.24,12.1,74.31,4.94,12.1335
0.23,5.74,-5.26,11.0,73.62,5.75,10.6415
-0.46,4.93,-5.83,10.75,71.94,6.56,7.325
-0.64,4.23,-5.48,9.7,71.25,7.38,7.38475
-0.71,4.41,-5.81,10.23,69.75,8.19,7.549600000000001
-0.44,4.11,-4.96,9.08,71.5,9.06,7.0135
-0.81,3.23,-4.82,8.05,73.31,9.12,7.0135
-1.57,2.59,-5.71,8.3,70.81,9.19,7.56214
-1.55,2.6,-5.66,8.26,70.69,9.25,7.415430000000001
-0.66,3.65,-4.96,8.61,72.62,9.31,6.1944300000000005
0.18,4.45,-4.1,8.55,74.56,9.38,6.83257
0.53,4.69,-3.65,8.34,77.06,9.44,6.55314
0.51,4.73,-3.71,8.44,76.44,9.5,5.62
0.3,5.1,-4.5,9.6,75.25,9.5,5.8345
0.85,6.19,-4.5,10.69,72.25,9.5,7.709
0.99,6.46,-4.51,10.97,70.88,9.5,6.525
1.1,6.66,-4.47,11.14,70.69,9.5,6.513
0.96,6.56,-4.64,11.2,71.25,9.5,6.88557
0.73,6.59,-5.12,11.71,70.0,9.5,6.021859999999999
0.58,6.76,-5.6,12.36,69.06,9.5,6.24467
0.61,6.95,-5.71,12.66,68.5,9.5,7.1582
0.79,7.21,-5.64,12.85,68.56,9.5,6.79117
0.83,7.61,-5.96,13.58,68.88,9.5,4.3582
1.24,8.5,-6.01,14.51,69.12,9.5,4.1032
2.08,9.6,-5.44,15.04,69.38,9.5,3.32075
2.98,10.73,-4.75,15.48,68.62,9.5,2.76633
3.79,11.34,-3.74,15.08,69.75,8.31,2.38567
4.33,11.76,-3.06,14.83,68.69,7.12,2.38567
4.53,12.14,-3.05,15.19,67.75,5.94,2.497
4.58,12.27,-3.09,15.36,66.69,4.75,1.6415
4.44,11.66,-2.75,14.41,64.81,3.56,2.2404
3.79,10.79,-3.17,13.96,63.25,2.38,2.2406
2.83,9.68,-3.99,13.66,60.81,1.19,1.97883
2.11,8.96,-4.73,13.69,59.19,0.0,1.97883
1.52,8.26,-5.21,13.48,58.12,0.25,2.1926
0.98,7.91,-5.98,13.89,58.5,0.5,2.03667
1.02,8.08,-6.03,14.1,58.81,0.75,1.8778
0.83,7.5,-5.84,13.34,60.44,2.69,1.9706
0.84,7.4,-5.73,13.13,63.0,4.62,1.30425
1.22,7.78,-5.33,13.1,64.62,6.56,1.30833
1.93,8.69,-4.86,13.55,67.06,8.5,1.503
2.9,9.81,-4.01,13.82,69.06,10.44,1.503
3.96,11.65,-3.72,15.38,69.75,12.12,1.23175
5.26,12.68,-2.14,14.81,70.81,13.81,1.1495
5.85,12.45,-0.74,13.19,73.19,15.5,1.1495
6.5,12.99,0.01,12.97,73.06,16.06,0.8666699999999999
6.74,13.41,0.06,13.35,72.06,16.62,0.8666699999999999
7.19,14.26,0.09,14.18,71.69,17.19,0.744
7.69,14.84,0.53,14.31,70.75,17.75,0.574
7.54,14.9,0.15,14.75,69.38,18.31,0.7385
8.15,14.69,1.61,13.07,70.44,18.94,1.11525
8.48,15.19,1.75,13.44,71.31,19.62,1.17767
8.95,16.41,1.47,14.94,69.94,20.31,1.17767
10.13,18.1,2.15,15.95,68.06,20.44,0.94575
10.81,18.59,3.06,15.52,69.25,20.69,0.94575
11.7,18.95,4.49,14.46,69.75,21.5,1.1356700000000002
12.09,19.24,4.99,14.25,69.19,22.31,1.04925
12.64,19.88,5.44,14.44,68.38,19.81,0.98833
12.55,20.54,4.6,15.94,65.62,17.25,0.7733300000000001
12.21,20.26,4.2,16.06,64.06,15.69,0.7733300000000001
11.49,18.99,4.03,14.96,63.5,14.25,0.75375
10.08,17.36,2.8,14.56,64.38,12.81,0.92167
9.55,17.33,1.79,15.54,62.19,11.25,0.92167
9.08,17.46,0.7,16.76,61.31,9.12,0.9755
8.81,17.45,0.16,17.29,61.31,7.0,1.03733
8.74,17.34,0.15,17.19,62.06,8.19,1.0605
8.61,16.9,0.34,16.56,63.5,9.38,0.98733
8.96,16.94,1.01,15.93,64.06,9.5,0.8675
9.67,17.51,1.86,15.65,66.31,9.5,0.925
10.84,18.83,2.87,15.95,65.62,9.5,0.925
11.59,19.99,3.21,16.78,65.56,9.5,0.9135
12.06,20.38,3.77,16.6,66.56,9.5,0.865
12.8,20.73,4.92,15.8,68.5,9.5,1.0764
12.9,20.62,5.2,15.43,68.69,9.88,1.1418
13.21,20.79,5.65,15.14,69.12,10.25,1.04833
13.19,20.71,5.66,15.05,69.25,10.62,1.1564
13.44,21.42,5.45,15.97,66.75,11.0,1.1564
13.41,21.3,5.55,15.75,66.88,11.38,1.164
13.51,21.21,5.81,15.4,66.62,11.75,1.1788299999999998
13.54,21.36,5.7,15.66,65.0,12.12,1.24167
13.53,21.67,5.35,16.32,63.25,12.5,1.16
13.91,22.29,5.54,16.75,62.56,12.5,1.14933
13.91,22.59,5.25,17.34,61.06,12.5,1.16267
14.13,22.45,5.82,16.63,63.44,13.0,1.16267
14.0,21.49,6.54,14.95,67.38,14.94,1.51943
14.25,21.45,7.05,14.4,69.19,16.94,1.57233
14.43,21.09,7.76,13.32,72.0,18.94,1.9115
14.71,20.9,8.55,12.35,73.31,17.38,2.575
14.77,20.81,8.76,12.05,74.5,15.81,2.8036
14.5,20.01,9.0,11.01,75.0,14.25,3.15625
14.12,19.52,8.72,10.8,75.38,12.81,3.988
13.49,19.44,7.53,11.91,72.25,10.88,3.988
13.3,20.17,6.43,13.75,68.19,7.5,4.152
12.94,20.56,5.31,15.25,66.06,4.06,4.152
12.81,20.31,5.31,15.0,66.19,0.75,5.301
13.73,21.27,6.13,15.15,66.12,6.19,2.986
14.83,22.55,7.05,15.5,67.44,9.06,2.986
15.88,23.41,8.27,15.14,68.31,11.94,2.986
16.59,23.4,9.71,13.69,69.12,14.81,3.009
17.05,24.36,9.7,14.66,66.81,17.56,2.998
17.48,24.8,10.12,14.67,67.19,20.31,2.998
17.57,24.69,10.44,14.25,67.81,23.06,2.998
17.89,25.04,10.72,14.31,66.62,24.0,2.998
18.06,25.49,10.65,14.84,66.38,24.0,3.004
18.06,25.29,10.86,14.43,66.81,24.0,3.004
18.06,25.5,10.64,14.86,66.56,24.0,3.004
18.39,25.89,10.91,14.98,67.81,24.0,2.962
19.04,26.34,11.76,14.58,68.88,24.0,2.939
19.57,26.54,12.64,13.9,69.81,24.0,2.939
19.79,26.38,13.22,13.15,69.75,24.56,2.939
19.89,26.57,13.21,13.36,70.56,25.12,4.046
20.09,27.06,13.12,13.94,70.56,25.69,3.6855
20.59,27.8,13.38,14.42,69.12,26.25,8.075800000000001
20.93,28.26,13.59,14.67,68.75,26.81,14.95883
21.28,29.09,13.47,15.61,67.44,27.38,24.32317
21.31,29.22,13.4,15.82,67.0,24.38,28.6018
21.15,28.82,13.47,15.35,67.75,21.44,26.595
21.26,28.55,13.96,14.59,70.38,18.56,41.95714
21.71,28.39,15.04,13.35,71.06,15.69,66.12171000000001
21.65,27.89,15.39,12.5,71.88,12.81,93.64643
21.55,27.83,15.25,12.58,72.19,9.94,124.30957
21.49,27.34,15.61,11.73,73.94,7.06,157.33243
21.31,26.55,16.05,10.5,75.5,4.19,173.69883
21.34,26.34,16.32,10.01,76.56,4.94,202.81857
21.54,26.82,16.24,10.59,76.5,6.56,242.14357
21.75,27.19,16.31,10.87,75.56,7.94,268.927
21.41,26.95,15.87,11.07,76.06,9.31,285.52729
21.38,26.85,15.9,10.95,76.88,11.0,300.61543
21.44,26.58,16.3,10.28,76.69,12.69,300.457
21.44,26.6,16.27,10.33,76.06,14.38,303.7775
21.26,26.84,15.69,11.15,75.12,16.06,322.45086
21.31,26.89,15.73,11.16,74.69,17.69,320.348
21.31,27.15,15.45,11.7,73.81,18.38,330.57514000000003
21.42,27.34,15.49,11.85,74.0,18.69,326.988
21.69,27.71,15.64,12.07,74.31,19.0,342.07386
22.12,28.15,16.09,12.06,73.62,19.0,351.27743
22.24,28.36,16.1,12.26,74.69,21.81,369.962
22.21,28.11,16.31,11.8,76.31,25.81,390.66771
22.26,27.8,16.7,11.1,77.5,29.81,378.57857
22.11,27.83,16.36,11.46,77.75,33.81,375.91657
22.34,27.84,16.8,11.04,78.31,37.81,368.19214
22.62,28.31,16.89,11.42,77.19,41.81,382.61943
22.94,28.37,17.44,10.94,76.56,45.81,380.18157
22.9,28.32,17.4,10.93,76.62,49.81,382.65867
22.99,28.41,17.49,10.93,76.75,51.0,401.16386
23.41,29.07,17.66,11.41,75.56,45.12,386.22057
23.75,29.32,18.11,11.21,75.88,39.5,386.66671
23.82,28.94,18.65,10.29,77.12,34.31,392.19086
23.86,29.02,18.66,10.36,76.81,29.12,402.34214
23.69,28.77,18.58,10.2,77.69,23.94,402.53386
23.14,28.07,18.2,9.87,79.62,18.94,406.2645
23.21,28.67,17.76,10.91,79.0,13.94,431.437
23.56,28.86,18.28,10.59,79.25,10.75,426.64743
23.73,28.64,18.84,9.8,81.44,14.44,445.94514
24.1,29.06,19.15,9.91,80.94,17.88,471.08786
24.45,29.79,19.14,10.65,78.88,20.88,487.30086
24.19,29.46,18.94,10.52,80.12,23.88,497.43357
24.35,29.46,19.26,10.2,80.75,27.81,513.8663300000001
24.9,30.26,19.55,10.71,79.5,31.56,521.07271
24.93,29.94,19.91,10.02,80.25,35.31,505.44729
24.71,29.66,19.75,9.91,80.31,37.25,520.20886
24.45,29.45,19.44,10.01,79.75,38.19,513.49243
24.08,29.1,19.05,10.05,80.12,55.0,496.098
24.15,28.94,19.36,9.57,82.19,71.81,460.38371
24.75,29.42,20.06,9.36,81.44,88.62,461.8905
24.95,29.69,20.19,9.5,81.56,104.5,445.766
25.15,29.66,20.61,9.05,82.5,120.44,395.97357
25.16,29.12,21.18,7.95,84.44,139.75,349.67714
25.09,28.84,21.31,7.52,86.12,159.19,291.218
25.61,29.54,21.68,7.86,85.31,178.75,240.40829
25.47,29.35,21.58,7.77,86.12,182.88,199.69
25.1,29.11,21.05,8.06,85.62,187.0,191.9145
24.61,28.74,20.45,8.29,85.56,191.12,191.36386
24.19,28.09,20.26,7.83,86.19,195.56,163.45129
24.15,28.41,19.88,8.54,85.44,199.94,150.02114
24.6,29.38,19.83,9.55,83.88,201.25,146.92457000000002
24.95,30.01,19.9,10.11,82.56,176.69,137.45314000000002
24.88,29.9,19.85,10.05,82.31,153.25,121.74371
25.1,29.84,20.35,9.49,82.94,132.12,121.66767
25.4,29.74,21.08,8.66,84.62,111.69,116.46057
25.88,29.9,21.85,8.05,86.38,91.25,96.14057
26.04,30.02,22.05,7.97,86.94,71.88,85.76257000000001
